molecule_index,smiles,task_idx,task_name,fraction_masked,num_heavy_atoms_masked,baseline_score,top_shap_score,top_shap_drop,random_drop_mean,random_drop_std,random_drop_median,random_drop_q025,random_drop_q975,empirical_p_random_ge_top,top_shap_atoms,positive_only_ranking,score_type
0,CCCCC(CC)COCCC#N,0,Ames,0.05,1,-2.564781665802002,-2.705521583557129,0.1407399177551269,-0.1241760015487671,0.1439419406943201,-0.095744252204895,-0.3100809395313263,0.1407398641109466,0.0588235294117647,8,True,logit_or_raw
0,CCCCC(CC)COCCC#N,0,Ames,0.1,2,-2.564781665802002,-2.7153239250183105,0.1505422592163086,-0.2438424086570739,0.2102068266811246,-0.3143461942672729,-0.5661782115697861,0.0920824289321898,0.0196078431372549,"8,11",True,logit_or_raw
0,CCCCC(CC)COCCC#N,0,Ames,0.2,3,-2.564781665802002,-2.7213551998138428,0.1565735340118408,-0.3214194178581238,0.2464238922258517,-0.2806485891342163,-0.7528926759958268,0.0900556683540343,0.0392156862745098,"8,11,4",True,logit_or_raw
0,CCCCC(CC)COCCC#N,0,Ames,0.3,4,-2.564781665802002,-2.483268976211548,-0.0815126895904541,-0.421569287776947,0.2923237894978306,-0.3800511360168457,-0.9495702266693116,0.0210149586200712,0.1568627450980392,"8,11,4,6",True,logit_or_raw
0,CCCCC(CC)COCCC#N,1,LD50_Zhu,0.05,1,-1.5946917533874512,-1.6823488473892212,0.08765709400177,-0.2672562098503113,0.1812361573940525,-0.260046899318695,-0.8109272629022598,0.0876573055982589,0.0784313725490196,11,True,logit_or_raw
0,CCCCC(CC)COCCC#N,1,LD50_Zhu,0.1,2,-1.5946917533874512,-0.7358419299125671,-0.858849823474884,-0.429236763715744,0.2165943557113432,-0.4614698886871338,-0.7433934599161148,-0.0044028669595718,0.9803921568627452,"11,8",True,logit_or_raw
0,CCCCC(CC)COCCC#N,1,LD50_Zhu,0.2,3,-1.5946917533874512,-1.0946953296661377,-0.4999964237213135,-0.544131053686142,0.2407245905713479,-0.5533553957939148,-1.0385569036006927,-0.179324409365654,0.4705882352941176,"11,8,4",True,logit_or_raw
0,CCCCC(CC)COCCC#N,1,LD50_Zhu,0.3,4,-1.5946917533874512,-1.1769232749938965,-0.4177684783935547,-0.6383225911855698,0.2585293044419985,-0.6546898484230042,-1.1132579691708089,-0.2101870566606521,0.2549019607843137,"11,8,4,0",True,logit_or_raw
0,CCCCC(CC)COCCC#N,2,hERG_Karim,0.05,1,-1.026147484779358,-0.6223398447036743,-0.4038076400756836,-0.0379225492477417,0.2293807356284369,0.050916850566864,-0.4038079246878624,0.1949018239974975,0.9019607843137256,8,True,logit_or_raw
0,CCCCC(CC)COCCC#N,2,hERG_Karim,0.1,2,-1.026147484779358,-0.6733056306838989,-0.352841854095459,0.0222312694787979,0.27169027752654,0.0744971632957458,-0.56423454657197,0.3316891193389892,0.9019607843137256,"8,11",True,logit_or_raw
0,CCCCC(CC)COCCC#N,2,hERG_Karim,0.2,3,-1.026147484779358,-1.0269737243652344,0.0008262395858764,-0.0615785890817642,0.275620256231515,-0.0355548560619354,-0.6754089444875717,0.3880687594413756,0.4705882352941176,"8,11,5",True,logit_or_raw
0,CCCCC(CC)COCCC#N,2,hERG_Karim,0.3,4,-1.026147484779358,-1.215373992919922,0.1892265081405639,-0.1455199608206749,0.3773991997886861,-0.1092383861541748,-0.90566466152668,0.4247060149908065,0.2549019607843137,"8,11,5,1",True,logit_or_raw
0,CCCCC(CC)COCCC#N,3,NR-AhR,0.05,1,-5.399367332458496,-5.387399673461914,-0.011967658996582,-0.0638914394378662,0.0406538920115235,-0.0746603012084961,-0.1035628318786621,0.0060504794120788,0.1764705882352941,8,True,logit_or_raw
0,CCCCC(CC)COCCC#N,3,NR-AhR,0.1,2,-5.399367332458496,-5.38533878326416,-0.0140285491943359,-0.0720478725433349,0.0687787917121523,-0.0558691024780273,-0.2159353852272033,0.0286579132080078,0.1764705882352941,"8,11",True,logit_or_raw
